Name,Latitude,Longitude,Object-ID,Easting,Northing
속리산,36.45543299,127.7828309,196,390944.2699,4034750.903
속사,37.63129118,128.4908719,197,455082.263,4164613.208
송악,36.93321262,126.7770819,198,302050.3799,4089363.838
송탄,37.03549346,127.1052843,199,331505.6858,4100079.284
수성,35.83829222,128.6905195,200,472053.7216,3965662.4
수원,37.26368875,127.1038504,201,331884.3038,4125397.991
순창,35.36227165,127.14539,202,331523.3489,3914408.08
순천,34.97954609,127.5220375,203,365110.8429,3871387.673
승주,35.01403952,127.377439,204,351974.7554,3875417.761
신림,37.22366865,128.0894782,205,419232.0167,4119662.269
신양,36.58702642,126.8577929,206,308378.8517,4050793.631
신탄진,36.43759946,127.41959,207,358364.0787,4033244.992
안산,37.34887878,126.8426684,208,308940.5095,4135345.912
안성,36.99162946,127.1552208,209,335852.543,4095125.791
안영,36.28199224,127.3768349,210,354242.098,4016048.245
양산,35.35232593,129.0458339,211,504163.9177,3911727.758
양지,37.23675146,127.3005102,212,349268.2626,4122078.185
여주,37.252262,127.6501452,213,380304.5002,4123299.354
연무,36.14426368,127.0622177,214,325681.5568,4001290.309
연풍,36.75798721,127.994197,215,410234.1847,4068091.602
연화산,35.0793804,128.1934862,216,426483.3686,3881757.678
영광,35.29689881,126.5563602,217,277826.2047,3908319.004
영동,36.2715484,127.8284435,218,394783.9236,4014304.437
영산,35.45246627,128.510376,219,455573.4622,3922941.646
영주,36.76605884,128.5724375,220,461845.405,4068600.558
영천,35.92209959,128.9458964,221,495119.5616,3974913.849
예산수덕,36.67179574,126.7817417,222,301792.411,4060352.215
예천,36.66482081,128.5394835,223,458850.6944,4057385.168
오산,37.14072793,127.085131,224,329948.6824,4111789.91
오수,35.55212498,127.3201401,225,347757.8308,3935180.943
오창,36.70571357,127.4461659,226,361226.6558,4062946.942
옥계,37.61806275,129.0385653,227,503403.0048,4163024.581
옥곡,34.9850614,127.7092754,228,382208.451,3871762.526
옥과,35.25865174,127.1156335,229,328601.3414,3902966.644
옥천,36.3079084,127.5714748,230,371764.0857,4018647.302
온양,35.41118531,129.2579217,231,523414.668,3918284.334
완주,35.89692487,127.1515763,232,333200.2483,3973698.47
왜관,35.98274237,128.4284584,233,448482.9768,3981788.871
용인,37.25578884,127.2119288,234,341451.0033,4124334.948
울산,35.558013,129.249859,235,522641.5028,3934564.719
원주,37.39985046,127.9503979,236,407111.5714,4139334.183
유구,36.56270834,126.9649407,237,317907.3467,4047887.562
유성,36.36203578,127.3306103,238,350244.1184,4024997.514
음성,36.97988646,127.470021,239,363844.4107,4093326.575
의성,36.28866624,128.5809725,240,462376.5513,4015647.918
이천,37.24490753,127.5016369,241,367122.1553,4122681.66
익산,35.98685215,127.1107789,242,329711.4408,3983743.704
일죽,37.08870621,127.4504574,243,362299.9703,4105426.461
임실,35.62942709,127.318027,244,347712.8309,3943757.853
장성,35.28357281,126.7884351,245,298896.9885,3906345.267
장성물류,35.34843398,126.7613568,246,296596.8483,3913594.847
장수,35.71596,127.589271,247,372411.0704,3952968.776
장안,35.32663156,129.2449418,248,522259.5286,3908905.041
장유,35.19528237,128.8110554,249,482801.5985,3894328.661
장지,35.293914,128.341169,250,440103.0494,3905448.446
장평,37.5891029,128.4127833,251,448163.5819,4159973.326
전주,35.87695446,127.0546022,252,324404.2743,3971653.286
점촌함창,36.58389337,128.1522099,253,424166.1729,4048644.798
정남,37.18276761,126.9730952,254,320097.8754,4116660.677
정안,36.62181065,127.120335,255,331941.4746,4054160.75
정읍,35.57860415,126.8322256,256,303597.7181,3938981.77
제천,37.1305179,128.1448501,257,424050.6922,4109283.448
조양,37.75850055,127.7776711,258,392342.6468,4179306.495
주암,35.06527352,127.2709897,259,342360.9444,3881262.779
줄포,35.59489877,126.6967488,260,291363.6209,3941068.07
증평,36.7702134,127.5003649,261,366179.5531,4070024.625
지곡,35.58591043,127.7685406,262,388444.6935,3938327.383
지리산,35.48293812,127.5898172,263,372090.1279,3927124.455
지수,35.2234634,128.271936,264,433751.3869,3897680.04
진교,35.03992462,127.9048954,265,400128.2791,3877633.246
진례,35.25774281,128.7567521,266,477875.6719,3901265.578
진부,37.64742687,128.5597336,267,461166.014,4166372.474
진성,35.19007959,128.2256196,268,429507.9874,3894009.927
진안,35.76993041,127.442164,269,359200.5338,3959155.965
진월,34.9786739,127.7478547,270,385720.5171,3871009.39
진주,35.16007759,128.1176468,271,419649.4347,3890764.841
진천,36.86933,127.474955,272,364087.367,4081055.389
창녕,35.54026049,128.4769095,273,452588.4337,3932693.159
창평,35.2309179,127.0020586,274,318207.4763,3900092.783
천안,36.82461071,127.1676429,275,336601.9975,4076576.107
청도,35.65434684,128.7467504,276,477078.7423,3945248.533
청량,35.4756989,129.2939297,277,526662.281,3925447.566
청북,37.04876978,126.9219689,278,315234.0215,4101892.773
청양,36.37318682,126.9485191,279,315990.1758,4026894.69
청원,36.533571,127.430055,280,359475.5075,4043875.232
청주,36.62479818,127.3839244,281,355516.2191,4054063.106
청통와촌,35.96824818,128.8296422,282,484641.7289,3980043.87
추부,36.18716574,127.4856713,283,363851.8088,4005371.788
추풍령,36.19856546,128.004526,284,410515.0722,4006032.783
축동,35.08470287,128.0413565,285,412621.4601,3882470.67
춘장대,36.16574618,126.6027288,286,284399.1619,4004596.385
춘천,37.84069178,127.7709964,287,391874.6389,4188432.723
충주,36.97614449,127.8470913,288,397397.023,4092438.791
칠곡,35.93288499,128.534207,289,457988.5161,3976208.83
칠곡물류,35.956888,128.454294,290,450795.7044,3978908.181
칠서,35.32595415,128.5055203,291,455062.7462,3908914.537
칠원,35.28101,128.512552,292,455677.2761,3903927.452
탄천,36.301162,127.070205,293,326746.6879,4018680.115
태인,35.66024709,126.9247473,294,312172.6022,3947856.86
통도사,35.48697431,129.0915904,295,508306.9694,3926662.097
통영,34.869313,128.432944,296,448178.9516,3858313.794
판암,36.31504834,127.4704356,297,362705.8904,4019577.947
팔공산,35.909786,128.653851,298,468770.5905,3973602.234
평택,37.032484,126.977631,299,320145.3018,4099979.252
포항,36.04387001,129.3105376,300,527969.2069,3988461.742
풍기,36.85155509,128.5298315,301,458089.95,4078101.537
풍세,36.737904,127.158101,302,335565.8168,4066973.771
하동,35.00028959,127.8138366,303,391771.2526,3873332.935
하조대,38.02431938,128.6957564,304,473300.2152,4208136.363
함안,35.28624896,128.4005993,305,445501.0262,3904564.178
함양,35.53143806,127.7501036,306,386697.7936,3932307.266
함평,35.08816743,126.4956667,307,271723.2186,3885303.512
해미,36.70964115,126.5622092,308,282280.1051,4065027.311
해운대,35.165099,129.136069,309,512390.0558,3890973.824
해운송정,35.21165,129.205141,310,518668.9125,3896146.564
해인사,35.71335249,128.1722345,311,425134.5161,3952078.25
향남,37.12798202,126.999995,312,322357.4927,4110531.879
현남,37.91231765,128.7911744,313,481646.0494,4195687.824
현풍,35.67426599,128.436691,314,449028.1624,3947574.101
홍성,36.59030349,126.560934,315,281829.5601,4051790.412
홍천,37.67609296,127.861868,316,399647.4752,4170070.61
화도,37.63113176,127.3152033,317,351353.7982,4165808.294
화서,36.44227319,127.9602194,318,406822.7208,4033105.228
화원옥포,35.800368,128.479346,319,452962.1228,3961537.451
황간,36.22231759,127.9156365,320,402553.8119,4008752.86
황전,35.14535797,127.4574852,321,359503.3291,3889865.164
회인,36.4847545,127.6109709,322,375592.0158,4038211.421
횡계,37.67835018,128.6885105,323,472536.2881,4169757.412
횡성,37.50048262,127.9642856,324,408463.3745,4150484.185
